City,State,Country,Shape_id,Image,Date,Time
Galesburg,IL,USA,4,No,05/03/2020,21:23:00
Holly Springs,NC,USA,4,No,05/03/2020,21:00:00
Spokane,WA,USA,4,No,05/03/2020,03:05:00
Key largo,FL,USA,4,No,05/02/2020,23:00:00
Chaska,MN,USA,4,No,05/02/2020,22:00:00
Orcutt,CA,USA,4,No,05/02/2020,21:20:00
Eudora,KS,USA,4,No,05/02/2020,21:00:00
Naperville,IL,USA,4,No,05/02/2020,20:30:00
Brick,NJ,USA,4,No,05/02/2020,19:45:00
Lewiston,ME,USA,4,No,05/02/2020,17:00:00
Jamestown,RI,USA,4,No,05/02/2020,09:00:00
Folcroft,PA,USA,4,No,05/02/2020,07:00:00
Longmont,CO,USA,4,No,05/01/2020,23:49:00
Bensalem,PA,USA,4,No,05/01/2020,22:00:00
Albuquerque,NM,USA,4,No,05/01/2020,21:02:00
Topsail Island,NC,USA,4,No,05/01/2020,20:00:00
Oak Ridge,NJ,USA,4,No,05/01/2020,09:50:00
New Haven,CT,USA,4,No,05/01/2020,09:00:00
Central Point,OR,USA,4,No,05/01/2020,04:00:00
Wellington,FL,USA,4,No,04/12/2020,22:35:00
Lad Cruces,NM,USA,4,No,04/12/2020,09:38:00
